,id,synopsis,movie_rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio,review,review_rating,fresh,critic,top_critic,publisher,date
11678,453,"Kids on a family vacation must fight off an attack by knee-high alien invaders with world-destroying ambitions. At the same time, the youngsters work hard to keep their parents in the dark about the battle upstairs. It all starts as a meteor shower rockets across the dark galaxy. Four glowing pods sparkle and crackle while hiding behind the meteor show. A mysterious force makes the meteor shower turn a hard right towards a bright blue ball in the distance - planet Earth.",PG,Action and Adventure|Kids and Family|Science Fiction and Fantasy,John Schultz,,"Jul 31, 2009","Nov 3, 2009",$,24967943,86 minutes,20th Century Fox,"OK, it is a little derivative, but the young actors are all very convincing and Robert Hoffman does some terrific physical comedy after his body is commandeered by the alien leader.",0.6,fresh,Debbie Baldwin,0,Ladue News,"November 13, 2018"
11741,456,"The eerie and deserted ghost town of Silent Hill draws a young mother desperate to find a cure for her only child's illness. Unable to accept the doctor's diagnosis that her daughter should be permanently institutionalized for psychiatric care, Rose flees with her child, heading for the abandoned town in search of answers -- and ignoring the protests of her husband. It's soon clear this place is unlike anywhere she's ever been. It's smothered by fog, inhabited by a variety of strange beings and periodically overcome by a living ""darkness"" that literally transforms everything it touches. As Rose begins to learn the history of the strange town, she realizes that her daughter is just a pawn in a larger game.",R,Action and Adventure|Horror,Christophe Gans,Roger Avary,"Apr 21, 2006","Aug 22, 2006",$,46982632,125 minutes,Sony Pictures,"An atmospheric, disturbing and bloody movie, very true to the video games. [Full review in Spanish]",0.75,fresh,Sebastian Zavala,0,,"February 27, 2017"
11827,458,"This is a romantic comedy set in Paris about a family that goes there because of business, and two young people who are engaged to be married in the fall have experiences there that change their lives. It's about a young man's great love for a city, Paris, and the illusion people have that a life different from theirs would be much better. It stars Owen Wilson, Rachel McAdams, Marion Cotillard, Kathy Bates, Carla Bruni, among others. -- (C) Sony Classics",PG-13,Comedy|Romance,Woody Allen,Woody Allen,"Jun 10, 2011","Dec 20, 2011",$,55400000,94 minutes,Sony Pictures Classics,"A gear shift for a director whose weathered career is jolted back to life, matching bouncy dialogue and a whimsically comical plot with the glossy climes of the sepia toned city of love.",0.8,fresh,Edward Frost,0,CineVue,"November 30, 2018"
12092,465,"Based on the real-life story of golf legend Bobby Jones, Bobby Jones, Stroke of Genius features Jim Caviezel as the temperamental but highly talented amateur who threw a wrench in the golf world of the mid-'20s. Though Jones would eventually become the founder of the internationally renowned Augusta National Golf Club, which is father to the prestigious annual tournament known as The Masters, the combination of his ambition and tumultuous relationship with the media interfered with his personal life to such an extent that his future in the sport seemed doomed. With the help of his wife, Mary Malone Jones (Claire Forlani), the gifted, oftentimes tortured golfer was forced to balance his family life and the public scrutiny regarding his golf career, lest both of them dissolve entirely. Directed by Rowdy Herrington, the film also stars Jeremy Northam, Aidan Quinn, and Malcolm McDowell.",PG,Drama,Rowdy Herrington,Rowdy Herrington|Bill Pryor|Tony DePaul,"Apr 30, 2004","Nov 30, 2004",$,2536460,128 minutes,Film Foundry Releasing,Bobby Jones deserves a better movie than this one.,0.4,rotten,Nell Minow,0,Common Sense Media,"December 22, 2010"
12128,468,"Television actor-turned-director Brian Robbins follows up Varsity Blues (1999) and Ready to Rumble (2000) with another sports comedy. Keanu Reeves stars as Conor O'Neill, an underachiever and inveterate sports gambler who needs a bailout loan from a friend to pay off his mounting debt. As a condition for receiving the necessary funds, Conor is saddled with coaching a corporate-sponsored Little League baseball team for underprivileged youth in Chicago's notorious Cabrini Green housing project. Reluctant at first, Conor slowly begins to enjoy his new authority role, especially when he makes the acquaintance of his players' attractive teacher, Elizabeth Wilkes (Diane Lane). Based on the real-life chronicle Hardball: A Season in the Projects by Outside magazine editor Daniel Coyle, Hardball also stars D.B. Sweeney and Mike McGlone.",PG-13,Comedy|Drama,Brian Robbins,John Gatins,"Sep 14, 2001","Feb 19, 2002",$,39697363,115 minutes,Paramount Pictures,"Had Paramount played more team ball, they coulda been a contender",0.47,rotten,John A. Nesbit,0,Old School Reviews,"February 24, 2011"
12283,477,"A chronicle exploring what happened in Rio de Janeiro, Brazil, on June 12th, 2000--Valentine's Day in Brazil--when Bus 174 was highjacked by an armed young man, Sandro do Nascimento, with a dozen passengers. Nascimento, a disillusioned slum-dweller, threatened to kill all of the passengers, but eventually agreed to surrender, as TV cameras were rolling and an entire nation was glued to their screens, watching the event take place. Regardless, a police officer then decided to fire at Nascimento anyway, accidentally killing one of the female passengers instead. What followed was a revolt among the city's population, enraged both at the police brutality and their incompetence. The crowd's reactions were comparable with the Rodney King riots. The documentary captures the media and society's responses to the event. As the chronicle intertwines the story of the standoff, it also presents biographical information about Sandro do Nascimento, which includes: his childhood as a survivor of the ""Candelaria"" child mass murders in the early 1990s; his subsequent adolescence in which he was sent to horrific juvenile delinquency facilities; as well, his trauma sustained from seeing his mother stabbed to death in front of him.",R,Art House and International|Documentary|Drama|Special Interest,,,"Oct 8, 2003","Jul 20, 2004",$,140901,133 minutes,,Relentlessly gripping.,1.0,fresh,Joe Lozito,0,Big Picture Big Sound,"December 27, 2007"
12385,482,"Take out the trash, eat your broccoli-who needs moms, anyway? Nine-year-old Milo (Seth Green) finds out just how much he needs his mom (Joan Cusack) when she's nabbed by Martians who plan to steal her mom-ness for their own young. Produced by the team behind Disney's A Christmas Carol and The Polar Express, Mars Needs Moms showcases Milo's quest to save his mom-a wild adventure in 3D that involves stowing away on a spaceship, navigating an elaborate, multi-level planet and taking on the alien nation and their leader (Mindy Sterling). With the help of a tech-savvy, underground earthman named Gribble (Dan Fogler) and a rebel Martian girl called Ki (Elisabeth Harnois), Milo just might find his way back to his mom-in more ways than one. Based on the Book by Berkeley Breathed. -- (C) Disney",PG,Action and Adventure|Animation|Comedy|Science Fiction and Fantasy,Simon Wells,Simon Wells|Wendy Wells,"Mar 11, 2011","Aug 9, 2011",$,21379315,88 minutes,Walt Disney Pictures,"A badly animated, dispassionate and irresolute mess.",0.2,rotten,Jamie Neish,0,HeyUGuys,"August 13, 2018"
12475,483,"On the slopes of an active volcano in Guatemala, a marriage is arranged for 17-year-old Maria by her Kaqchikel parents.",NR,Art House and International|Drama,Jayro Bustamante,Jayro Bustamante,"Aug 19, 2016","Jan 17, 2017",$,292923,91 minutes,,"Thankfully, Guatemalan filmmaker Jayro Bustamante has crafted an impressive and introspective debuted gem that fuels honesty and a compelling brand of insight tip-toeing through the tunnels of cultural triumph and tragedy.",1.0,fresh,Frank Ochieng,0,The Critical Movie Critics,"November 8, 2018"
12508,486,"Nanni Moretti joins forces with the great French actor Michel Piccoli to tell the story of Melville, a cardinal who suddenly finds himself elected as the next Pope. Never the front runner and completely caught off guard, he panics as he's presented to the faithful in St. Peter's Square. To prevent a world wide crisis, the Vatican's spokesman calls in an unlikely psychiatrist who is neither religious or all that committed, played by Moretti, to find out what is wrong with the new Pope. As the world nervously waits outside, inside the therapist tries to find a solution. But Cardinal Melville is adamant: he does not want the job, or at least needs time to think it over. What follows is a marvelous insight into the concept of a human being existing behind the title of God's representative on Earth. -- (C) IFC",NR,Comedy|Drama,Nanni Moretti,Nanni Moretti|Federica Pontremoli|Francesco Piccolo,"Apr 6, 2012","Sep 11, 2012",$,480926,104 minutes,IFC Films,A hugely enjoyable experience that's sadly let down by a rather lacklustre and uninspiring ending.,0.6,fresh,Patrick Gamble,0,CineVue,"December 5, 2018"
12631,488,"A recent college graduate, Barry B. Benson wants more out of life than the inevitable career that awaits him and every other worker in New Hive City--a job at Honex making honey. Barry jumps at the chance to venture out of the hive, and soon encounters a world beyond his wildest dreams. When Barry inadvertently meets a quirky florist named Vanessa, he breaks one of the cardinal rules of beedom--he talks to her. A friendship soon develops, and Barry gets a guided crash course in the ways of the human race. When he shockingly discovers that anyone can purchase honey right off the grocery store shelf, he realizes that his true calling is to stop this injustice and set the world right by suing the human race for stealing the bees' precious honey.",PG,Animation|Comedy|Kids and Family,,Spike Feresten|Jerry Seinfeld|Barry Marder|Andy Robin|Chuck Martin|Tom Papa,"Nov 2, 2007","Mar 11, 2008",$,126597121,90 minutes,Paramount Pictures,"Its moral that even the smallest creature can make a world of difference is one to be appreciated. It is a shame, however, that it could not keep up its energetic and fun pace established within its first act. ",0.6,fresh,Matthew Pejkovic,0,Matt's Movie Reviews,"July 7, 2010"
12805,490,"Following the 2011 super hit movie Singham, the honest &amp; fearless Bajirao Singham returns to Mumbai being a DCP Mumbai Police. The story jumps into action when a police constable from Singham's squad is found dead having scampered away holding enormous sum of money and is charged of being corrupt. As the story unravels, Singham begins a quest to track a black marketer with tremendous influence within the political system. Guruji, a righteous politician and Singham's teacher, intends to change the society for the better but faces death threats from Baba's goons. During this blockbuster journey, DCP Singham fights these influential rogues in the system with utmost honesty, courage &amp; diligence. (C) Official Site",NR,Action and Adventure|Art House and International,Rohit Shetty,,,,$,1231550,145 minutes,Eros Entertainment,Rohit Shetty's action flim is fairly decent despite a predictable story.,0.5,rotten,Marwa Hamad,0,Gulf News (UAE),"September 1, 2017"
12811,491,"The jumbo-sized Baker family are back in this sequel to the 2003 box-office hit Cheaper by the Dozen. College football coach Tom Baker (Steve Martin) and his wife, author Kate Baker (Bonnie Hunt), have decided its time they took their sizable brood of 12 children on a summer vacation, and so they pack up the cars and take the kids to Lake Winnetka for some camping. Not all the kids are happy about this, but the one who is really annoyed turns out to be Tom, who discovers his old rival Jimmy Murtaugh (Eugene Levy) is also staying near the lake. Jimmy and his trophy wife, Sarina (Carmen Electra), also have a large family of eight children, and Jimmy and Tom seem intent upon one-upping each other at every opportunity. As the tensions mount, the Baker family and the Murtaugh clan face off in a not-so-good-natured series of family games to determine which of the parents have the greater bragging rights. In addition to Steve Martin and Bonnie Hunt, the actors playing the 12 Baker children from the 2003 film return for Cheaper by the Dozen 2, including Hilary Duff, Piper Perabo, Tom Welling, and Kevin Schmidt.",PG,Comedy|Kids and Family,Adam Shankman,Sam Harper,"Dec 21, 2005","May 23, 2006",$,82468131,93 minutes,20th Century Fox,"I was convinced I was going to hate this film. But, it didn't bug me as much as I thought it would.",0.53,rotten,Paul Chambers,0,CNNRadio,"August 11, 2009"
12982,504,"The directorial debut of filmmaker Jared Hess, who also co-wrote the screenplay, Napoleon Dynamite is a quirky, offbeat comedy set in the small Idaho town of Preston. Jon Heder stars in the titular role, a carrot-topped oddball with a decidedly eccentric family that includes his llama-loving, dune-buggy enthusiast grandmother. The story centers on the local high school's race for class president. Using some nontraditional means, Napoleon is determined to help his pal Pedro (Efrem Ramirez) run a winning campaign and defeat popular girl Summer (Haylie Duff). Also starring The Drew Carey Show's Diedrich Bader, Napoleon Dynamite premiered at the 2004 Sundance Film Festival.",PG,Comedy,Jared Hess,Jared Hess|Jerusha Hess,"Jun 11, 2004","Dec 21, 2004",$,44478018,86 minutes,Fox Searchlight Pictures,There's something distinctly sour-tasting in how long the film lingers on its characters doubling-down on their awkwardness.,0.5,rotten,Tim Brayton,0,Antagony &amp; Ecstasy,"December 4, 2016"
13004,505,"Premiering to rave reviews at the 2013 Sundance Film Festival, THE KINGS OF SUMMER is a unique coming-of-age comedy about three teenage friends - Joe (Nick Robinson), Patrick (Gabriel Basso) and the eccentric and unpredictable Biaggio (Moises Arias) - who, in the ultimate act of independence, decide to spend their summer building a house in the woods and living off the land. Free from their parents' rules, their idyllic summer quickly becomes a test of friendship as each boy learns to appreciate the fact that family - whether it is the one you're born into or the one you create - is something you can't run away from. (c) CBS Films",R,Comedy,Jordan Vogt-Roberts,Chris Galletta,"May 31, 2013","Sep 24, 2013",$,1300000,95 minutes,CBS Films,"Some of the best comedies these days can be found in the indie market and, whilst Kings of Summer isn't one of the better ones, it is enjoyable.",0.7,fresh,Jennifer Heaton,0,Alternative Lens,"November 1, 2018"
13304,528,"The last thing the two Savage siblings ever wanted to do was look back on their undeniably dysfunctional family legacy. Wendy is a self-medicating struggling East Village playwright, AKA a temp who spends her days applying for grants and stealing office supplies, dating her very married neighbor. Jon is an obsessive compulsive college professor writing obscure books on even more obscure subjects in Buffalo who still can't commit to his girlfriend after four years even though her cooking brings him tears of joy. Then, out of the blue, comes the call that changes everything. They're told that the father they have long feared and avoided, Lenny Savage, has lost his marbles. And, there is no one to help him but his kids. Now, as they put the middle of their already arrested lives on hold, Wendy and Jon must live together under one roof for the first time since childhood, soon rediscovering the eccentricities that drove each other crazy. Faced with complete upheaval and the ultimate sibling rivalry battle over how to handle their father's final days, they are forced to face the past and finally start to realize what adulthood, family and, most surprisingly, each other are really about.",R,Comedy|Drama,Tamara Jenkins,Tamara Jenkins,"Nov 28, 2007","Apr 22, 2008",$,6426953,114 minutes,Fox Searchlight Pictures,"The Savages is a labored labor of love about an estranged brother and sister, who have to deal with a frail and fractious father.",0.5,fresh,Tony Macklin,0,Fayetteville Free Weekly,"February 2, 2009"
13481,539,"Dex and his friends have twisted the philosophies of Lao-tzu, Heidegger and Groucho Marx into a foolproof theory of dating, The Tao of Steve, which provides rule-by-rule guidelines for how to transform ordinary Joes into charismatic Steve McQueen's. Back in college, Dex was the big man on campus. But we meet Dex ten years after graduation as he endures one of life's great humbling experiences; the college reunion. Now an overweight kindergarten teacher, Dex is immune to the shocked stares of the young women who were once his conquests. While trying to pick up a student bartender, Dex is struck by another woman, the gorgeous Syd, who rides motorcycles and designs sets for the Santa Fe Opera. Through a series of circumstances, Syd and Dex are thrown together and he soon finds himself questioning his belief in all things Steve. As Dex falls in love with her, Sy appears immune to his charms and with good reason.",R,Art House and International|Comedy|Drama|Romance,Jenniphr Goodman,Duncan North|Greer Goodman|Jenniphr Goodman,"Aug 4, 2000","Mar 20, 2001",$,2586310,87 minutes,,"Sweet, funny romantic comedy for mature audiences.",0.8,fresh,Nell Minow,0,Common Sense Media,"December 29, 2010"
13537,542,"After forays into film noir, thrillers, dramas, and even documentaries, director John Dahl tries the teen horror genre on for size. Paul Walker stars as Lewis Thomas, a college freshman embarking on a cross-country road trip during summer break to pick up his girlfriend Venna (Leelee Sobieski). Along for the ride is Lewis' brother Fuller (Steve Zahn), a practical joker who uses the car's CB radio to play a cruel prank on a lonely trucker known only by the handle Rusty Nail. The victim of Fuller's gag turns out to be a psychotic murderer and soon the brothers are being pursued by the relentless stalker, who gets his revenge in gruesome fashion. Joy Ride, which co-stars Matthew Kimbrough, was produced under the working title ""Squelch.""",R,Action and Adventure|Mystery and Suspense,John Dahl,,"Oct 5, 2001","Mar 12, 2002",$,21254983,96 minutes,20th Century Fox,...boasts a number of genuinely exhilarating sequences and set-pieces.,0.75,fresh,David Nusair,0,Reel Film Reviews,"October 8, 2008"
13695,554,"1970s-era DC antihero Jonah Hex makes his way to the big screen as co-screenwriters Mark Neveldine and Brian Taylor (Crank, Gamer) team to follow the disfigured gunslinger and part-time bounty hunter on his biggest adventure yet. Supernatural elements combine with Western aesthetics to take viewers on a wild and bloody ride, with Josh Brolin leading the way as Hex and John Malkovich stepping into the villainous role of Turnbull. Jimmy Hayward (Horton Hears a Who) directs.",PG-13,Action and Adventure|Drama|Horror|Western,Jimmy Hayward,Mark Neveldine|Brian Taylor,"Jun 18, 2010","Oct 12, 2010",$,10500000,84 minutes,Warner Bros. Pictures,"It's popcorn-chomping fun rooting for the soul-stripped Hex as he battles his way toward redemption and sweet, sweet payback. ",0.6,fresh,Steve Newton,0,Georgia Straight,"February 15, 2013"
13877,563,Kat Ellis is looking for the right man -- now,PG-13,Comedy|Drama|Romance,Clare Kilner,Dana Fox,"Feb 4, 2005","Aug 16, 2005",$,32000000,89 minutes,Universal Pictures,As stale as last week's wedding cake.,0.4,rotten,Nell Minow,0,Common Sense Media,"December 29, 2010"
14004,564,"For super-dog ""Bolt"", every day is filled with adventure, danger and intrigue - at least until the cameras stop rolling. When the star of a hit TV show is accidentally shipped from his Hollywood soundstage to New York City, he begins his biggest adventure yet - a cross-country journey through the real world to get back to his owner and co-star, Penny. Armed only with the delusions that all his amazing feats and powers are real, and the help of two unlikely traveling companions -- a jaded, abandoned housecat named Mittens and a TV-obsessed hamster named Rhino -- Bolt discovers he doesn't need superpowers to be a hero.",PG,Action and Adventure|Animation|Comedy,,,"Nov 21, 2008","Mar 24, 2009",$,114053579,96 minutes,Walt Disney Pictures,Restores some faith that there are some creative minds left in animated films that Pixar hasn't added to its talent pool.,0.7,fresh,Jeffrey Lyles,0,Lyles' Movie Files,"October 22, 2012"
14156,567,"Now graduated from college and out in the real world where it takes more than a cappella to get by, the Bellas return in Pitch Perfect 3, the next chapter in the beloved series that has taken in more than",PG-13,Comedy,Trish Sie,Mike White|Kay Cannon,"Dec 22, 2017","Mar 20, 2018",$,104880310,,,The fact that this trilogy has concluded is for the best. There's nowhere else for these characters to go.,0.5,rotten,Tomas Trussow,0,The Lonely Film Critic,"November 9, 2018"
14236,572,"Earl and Hank have only one thing in common: they're both L.A.P.D. rejects. One just got kicked out of the force--the other can't even get in. After confronting each other on opposite sides of the law, during a traffic stop that escalates out of control, these two luckless individuals end up partnered as lowly security guards. Despite being damned to the lowest rung of the law enforcement ladder, Earl and Hank uncover a sophisticated smuggling operation led by Nash and his band of thugs. When Earl and Hank get their hands on some hot property, they go on the run from, first, the bad guys, then, the L.A.P.D.--led by Lt. Washington and Detective McDuff. What these two unlikely partners do to law enforcement is a crime, but they just might save the day. That is, if they don't kill each other first.",PG-13,Action and Adventure|Comedy|Drama,Dennis Dugan,David Ronn|Jay Scherick,"Jan 17, 2003","May 27, 2003",$,35764982,91 minutes,Sony Pictures,Indistinguishable dumb action comedy.,0.2,rotten,Nell Minow,0,Common Sense Media,"December 26, 2010"
14317,573,"A young man and his pals rule supreme at their local roller-skating rink, but when the doors close, the boys venture into foreign territory -- uptown's Sweetwater Roller Rink, complete with over-the-top skaters and beautiful girls. Through his preparation for the roller-showdown of the season, the young man manages to find himself and also help his struggling dad get back on track.",PG-13,Comedy|Drama,,,"Sep 23, 2005","Dec 13, 2005",$,17364602,118 minutes,Fox Searchlight Pictures,"For the most part though, the honesty of the performances keeps everything afloat when it could drift into easy sentimentality.",0.6,fresh,Joshua Starnes,0,ComingSoon.net,"April 25, 2011"
14597,582,"When a half-Chechen, half-Russian, brutally tortured immigrant turns up in Hamburg's Islamic community, laying claim to his father's ill-gotten fortune, both German and US security agencies take a close interest: as the clock ticks down and the stakes rise, the race is on to establish this most wanted man's true identity - oppressed victim or destruction-bent extremist? (c) Roadside Attractions",R,Drama|Mystery and Suspense,Anton Corbijn,Andrew Bovell,"Jul 25, 2014","Nov 4, 2014",$,14037964,121 minutes,Lionsgate/Roadside Attractions,"Corbijn has assembled a fine cast of performers, yet still comes up with a disjointed jigsaw puzzle. Playing unfocused spy games in A Most Wanted Man leaves this peek-a-boo thriller feeling tired and unwanted.",0.5,rotten,Frank Ochieng,0,Popoptiq,"November 7, 2018"
14780,590,"Two ferociously ambitious sisters, Mary and Anne Boleyn, are rivals for the bed and heart of the 16th century English king Henry VIII.",PG-13,Drama|Romance,Justin Chadwick,Peter Morgan,"Feb 29, 2008","Jun 10, 2008",$,26800000,115 minutes,Sony Pictures/Columbia,This well-crafted historical drama is a treat for Tudor history fans and everyone else who appreciates a lusty tale. ,0.73,fresh,Julie Washington,0,Cleveland Plain Dealer,"August 17, 2017"
14987,596,"""Arctic Tale"" is an epic adventure that explores the vast world of the Great North. The film follows the walrus, Seela, and the polar bear, Nanu, on their journey from birth to adolescence to maturity and parenthood in the frozen Arctic wilderness. Once a perpetual winter wonderland of snow and ice, the walrus' and the polar bear's beautiful icebound world is melting away from underneath them.",G,Documentary|Special Interest,Adam Ravetch|Sarah Robertson,Linda Woolverton|Mose Richards|Kristin Gore,"Aug 17, 2007","Aug 1, 2017",$,598103,86 minutes,Paramount Vantage,"It's a playful study of Arctic life, starring a polar bear cub, its prey, and a tagalong fox -- with the inevitable dramatic moments when bear meets walrus.",0.75,fresh,Debbie Day,1,Premiere Magazine,"November 3, 2016"
15253,610,"American tourist Frank (Johnny Depp) meets a mysterious beauty who drags him into a dangerous world of intrigue and espionage while traveling through Europe in director Florian Henckel von Donnersmarck's paranoid thriller. When Frank met Elise (Angelina Jolie) on the train, he thought it was a chance encounter. Little did Frank realize it was all part of a much bigger plan, one that would soon find him dodging bullets through both the historic streets of Paris and the winding canals of Venice. Now, the faster Frank and Elise run, the more intense their romance grows.",PG-13,Action and Adventure|Mystery and Suspense|Romance,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck|Christopher McQuarrie|Julian Fellowes,"Dec 10, 2010","Mar 22, 2011",$,67631157,103 minutes,Columbia Pictures,A silly inane story lacking strong characters and ay sense of adventure.,0.3,rotten,John Hanlon,0,Big Hollywood,"June 30, 2013"
15409,611,"Directed by Clint Eastwood, the mysterious drama Mystic River is based on the novel by Dennis Lehane and adapted by screenwriter Brian Helgeland. Set in an Irish neighborhood in Boston, Jimmy, Sean, and Dave are three childhood friends who are reunited after a brutal murder takes place. Reformed convict Jimmy Markum (Sean Penn) and his devoted wife Annabeth (Laura Linney) find out that their teenage daughter Katie (Emmy Rossum) has been beaten and killed. Jimmy's old friend Sean Devine (Kevin Bacon) is the homicide detective assigned to the case, along with partner Whitey Powers (Laurence Fishburne). Jimmy also gets his relatives, the Savage brothers (Adam Nelson and Robert Wahlberg), to conduct an investigation of their own. Jimmy and Sean both start to suspect their old pal, Dave Boyle (Tim Robbins), who lives a quiet life with his wife Celeste (Marcia Gay Harden) but harbors some disturbing secrets. Clint Eastwood won a Golden Coach for Mystic River at the 2003 Cannes Film Festival.",R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,"Oct 8, 2003","Jun 8, 2004",$,88800000,137 minutes,WB,"Eastwood tells the story simply, barely moving the camera. The only special effect in this film is genius.",0.93,fresh,Joel Siegel,0,Good Morning America,"January 4, 2018"
15632,626,"Popular bogeymen Jason Voorhees terrorizes a group of nubile astronauts five centuries into the future in this sci-fi update of the Friday the 13th franchise. Early in the 21st century, Jason (actor/stunt man Kane Hoddar, filling the role for a fourth time) is experimented upon by army technocrats who hope to turn his supernatural invulnerability into a military application. Most of them meet a swift and bloody end -- except Rowan (Lexa Doig), a beautiful functionary, who traps the killer in a cryogenic stasis chamber. Unfortunately, she takes a machete blow in the process, gets frozen herself, and wakes up on a spaceship in the year 2455. The earth has long since been rendered uninhabitable, but the survivors include a group of archaeological students headed by Professor Lowe (Jonathan Potts), who hopes to make a quick buck by selling the corpse of the historical serial killer. The kids re-animate Rowan with the help of nanotechnology. Little do they know that a mere thaw job is enough to resuscitate Jason and reawaken his bloodthirst. Soon, the comely students and their space-marine protectors are being dispatched one by one. Help arrives in the form of a holographic chamber and an android named Kay-Em 14 (Lisa Ryder). Soon, though, Jason himself gets an upgrade -- just as the spaceship is getting ready to self-destruct. The tenth installment in the long-running horror series, Jason X was the first new entry to appear in almost a decade. In fact, the previous film, 1993's Jason Goes to Hell: The Final Friday, was one of two installments whose titles erroneously contained the word ""final.""",R,Horror|Mystery and Suspense|Science Fiction and Fantasy,James Isaac,Todd Farmer,"Apr 26, 2002","Jun 1, 2004",$,12610731,91 minutes,New Line Cinema,"Whatever they paid Canadian horror auteur David Cronenberg to appear in this godforsaken mess, it wasn't enough. ",0.0,rotten,Steve Newton,0,Georgia Straight,"February 8, 2014"
15852,646,"On the eve of graduating law school, Veronica Mars has put Neptune and her amateur sleuthing days behind her. While interviewing at high-end New York law firms, Veronica Mars gets a call from her ex-boyfriend Logan who has been accused of murder. Veronica heads back to Neptune just to help Logan find an attorney, but when things don't seem right with how Logan's case is perceived and handled, Veronica finds herself being pulled back into a life she thought she had left behind. (c) Official Site",PG-13,Comedy|Drama|Mystery and Suspense,,,"Mar 14, 2014","May 6, 2014",$,2664765,108 minutes,Warner Bros.,Thomas hit the mark with Bell and a decade away has not dulled the razor wit Veronica wields toward any adversary unfortunate enough to cross her path.,0.8,fresh,Aaron Peterson,0,The Hollywood Outsider,"October 12, 2018"
16183,661,"One woman's rocky road to the altar gets played for laughs in this comedy, adapted from the one-woman off-Broadway show written by and starring Nia Vardalos. Toula (Vardalos) is a Greek-American woman who is in her early thirties and single, with no immediate prospects of changing that status any time soon. This bothers Toula a bit, but not half as much as it distresses her mother (Lainie Kazan) and father (Michael Constantine), who want to send her to Greece in hopes of finding a husband in the old country. Toula isn't interested in leaving the country to find a man, but since she works in the family business -- a Greek restaurant in Chicago called Dancing Zorba's -- she has to hear about it whether she likes it or not. One day, after seeing a handsome stranger in the restaurant and not having the courage to talk to him, Toula decides she needs a bit of self-improvement. Despite her dad's misgivings, Toula signs up for a night-school class studying computers, trades in her glasses for contact lenses, gets a different job at a travel agency, and spruces herself up with a new look and a new attitude. To her very pleasant surprise, she once again encounters the handsome stranger, who soon asks her out on a date. Schoolteacher Ian Miller (John Corbett) is seemingly perfect -- he's tall, handsome, smart, good-natured, and soon in love with Toula -- except for two little things: he's not Greek, and he's a vegetarian, both of which horrify Toula's family. When Ian pops the question (and Toula says yes), the bride-to-be has to negotiate a reasonably peaceful meeting between Ian's upper-class parents and her own working-class extended family. There's also the matter of the wedding, which Toula's mother is planning around the notion that quantity IS quality. My Big Fat Greek Wedding also features Ian Gomez (Vardalos' real-life husband), Louis Mandylor, Andrea Martin, and Joey Fatone (from the pop group",PG,Comedy|Romance,Joel Zwick,Nia Vardalos,"Apr 19, 2002","Feb 11, 2003",$,241250669,95 minutes,IFC Films,Ms. Vardalos' has loaded her charmingly fluffy script with cute idiosyncrasies in place of actual characters.,0.62,fresh,Joe Lozito,0,Big Picture Big Sound,"July 14, 2007"
16326,667,"In the 3D animated comedy, The Angry Birds Movie, we'll finally find out why the birds are so angry. The movie takes us to an island populated entirely by happy, flightless birds--or almost entirely. In this paradise, Red (Jason Sudeikis), a bird with a temper problem, speedy Chuck (Josh Gad), and the volatile Bomb (Danny McBride) have always been outsiders. But when the island is visited by mysterious green piggies, it's up to these unlikely outcasts to figure out what the pigs are up to.",PG,Animation|Kids and Family,Clay Kaytis|Fergal Reilly,Jon Vitti,"May 20, 2016","Aug 16, 2016",$,107506776,95 minutes,Sony Pictures,"It's simplistic to a fault and the humour is only slightly racier than a typical Saturday morning cartoon, but it does all of those things with effort and conviction.",0.7,fresh,Jennifer Heaton,0,Alternative Lens,"October 31, 2018"
16525,672,A couple's strength and faith are tested after the wife is injured in a car crash and husband becomes attracted to another woman.,PG-13,Drama|Horror,Bill Duke,Brian Bird,"Jan 9, 2009","Apr 7, 2009",$,10572742,100 minutes,Screen Gems/SONY PICTURES,"The always immaculate, passionate and soulful Jenifer Lewis -- she could read the words in a phone book and make you feel it. The Hollywood veteran nearly saves the film.",0.6,rotten,Clay Cane,0,BET.com,"June 10, 2009"
